"location","file","tree","x","y","phi","h.dist","dbh","h","v","n.pts","n.pts.red","n.pts.est","n.pts.red.est","partial.occlusion","locationID","altitude","on.off.trail","latitude","longitude","habitat","partition"
"BM 14.35","BM14.35.txt",16,6.141968333,-3.405761667,5.794662457,7.134514365,16.04773375,20.569,0.104261603,220.3333333,109,204.1227475,102.0204491,0,9,53,"ON",-1.20752,110.10863,"Alluvial Bench","AB1"
"BM 14.35","BM14.35.txt",17,7.480054167,1.262544167,0.167212241,7.593753402,33.43313787,27.826,0.568206525,1269.333333,640.3333333,425.2602933,212.5448859,0,9,53,"ON",-1.20752,110.10863,"Alluvial Bench","AB1"
"BM 14.35","BM14.35.txt",18,-1.749305,7.487181667,1.799660135,7.692573914,12.58388621,14.125,0.050320284,36.33333333,21,160.0635621,79.9996898,0,9,53,"ON",-1.20752,110.10863,"Alluvial Bench","AB1"
"BM 14.35","BM14.35.txt",19,5.335675,-5.605428333,5.469674259,7.741902946,14.83325233,11.733,0.063500249,167.3333333,84.33333333,188.6748788,94.29961186,1,9,53,"ON",-1.20752,110.10863,"Alluvial Bench","AB1"
"BM 14.35","BM14.35.txt",20,-7.262085,3.998561667,2.636079938,8.316050421,10.21127336,22.574,0.045160652,29.33333333,13.66666667,129.8845811,64.91624989,1,9,53,"ON",-1.20752,110.10863,"Alluvial Bench","AB1"
"BM 14.35","BM14.35.txt",21,-6.742904167,5.198144167,2.48615558,8.541305992,14.19767789,14.801,0.065807499,102.6666667,53.66666667,180.5905473,90.25906691,1,9,53,"ON",-1.20752,110.10863,"Alluvial Bench","AB1"
"BM 14.35","BM14.35.txt",22,-8.5505525,0.175000833,3.124281607,8.569401892,10.83317207,14.56,0.037947549,31.66666667,16.66666667,137.7949612,68.86985398,1,9,53,"ON",-1.20752,110.10863,"Alluvial Bench","AB1"
"BM 14.35","BM14.35.txt",23,0.955820833,-8.580334167,4.828771612,8.649044451,14.77944724,19.899,0.086388037,383.3333333,187.6666667,187.9904929,93.95755612,1,9,53,"ON",-1.20752,110.10863,"Alluvial Bench","AB1"
"BM 14.35","BM14.35.txt",24,-8.2494125,2.7111525,2.824253679,8.688141585,19.94881988,14.274,0.127216006,288.3333333,147,253.7434873,126.8208705,0,9,53,"ON",-1.20752,110.10863,"Alluvial Bench","AB1"
"BM 14.35","BM14.35.txt",25,8.678245,-1.4981575,6.112227942,8.806634635,16.31248512,14.508,0.085864052,42.5,26,207.490312,103.7035561,0,9,53,"ON",-1.20752,110.10863,"Alluvial Bench","AB1"
