Orig_singkat,New_Singkat,singkat_prior_2016,Order_latin,Family,Latin_name,Spp_common_name,Indonesia_name,Mark_comment_3_06,class,notes
NULL,UHB,NULL,SQUAM,COLUB,Stegonotus borneensis,Bornean Black Snake,Ular Borneo yg hitem,NULL,Reptile,Added 2016
NULL,UKG,NULL,SQUAM,ELAPI,Bungarus fasciatus,Banded Krait,"Ular Garis, kuning dan hitam",NULL,Reptile,Added 2016
NULL,UMH,NULL,SQUAM,ELAPI,Bungarus flavicepts,Red-Headed Krait,Ular stengah merah stengah hitam,NULL,Reptile,Added 2016
NULL,UKM,NULL,SQUAM,ELAPI,Calliophis bivirgata,Blue Coral Snake,Ular biru dengan kepala merah,NULL,Reptile,Added 2016
sn,ULX,UL,NULL,NULL,NULL,Snake,Ular,"Original sinkat SN, Ali said he was still using for snake.",Reptile,NULL
NULL,UPP,NULL,SQUAM,PYTHO,Python breitensteini,Bornean Short-tailed Python,Python Pendek,NULL,Reptile,Added 2016
NULL,UPR,NULL,SQUAM,PYTHO,Python reticulatus,Reticulated Python,Python Bentuk,NULL,Reptile,Added 2016
NULL,LZX,,SQUAM,SCINC,Scincidae,Unid Lizard,Kadal Belum Tahu,,Reptile,Added 2016 (Cam Trap)
NULL,BA,NULL,NULL,VARAN,,Monitor lizard,Biawak,NULL,Reptile,NULL
NULL,UVB,NULL,SQUAM,VIPER,Parias sumatranus,Sumatran Pit Viper,Ular Viper hijau dan dengan bentuk,NULL,Reptile,Added 2016
NULL,UVS,NULL,SQUAM,VIPER,Popeia sabahi,Sabah Pit Viper,Ular Viper hijau dan lebih kecil,NULL,Reptile,Added 2016
NULL,UVW,NULL,SQUAM,VIPER,Tropidolaemus wagleri,Wagler's Pit Viper,Ular Viper Garis,NULL,Reptile,Added 2016
NULL,YT,NULL,CARNI,MUSTE,Martes flavigula,Yellow-Throated Marten,Musang leher kuning,NULL,,Added 2016
NULL,KK,NULL,NULL,NULL,NULL,Turtle,Kura-kura,NULL,,NULL
NULL,RN,NULL,NULL,NULL,NULL,NULL,kelelawar,NULL,,NULL
NULL,UM,NULL,NULL,NULL,NULL,unid terrestrial mammal,NULL,NULL,,NULL
NULL,YY,NULL,NULL,NULL,NULL,No animal present,Tidak ada binatang,NULL,,Added 2016
NULL,ZZ,NULL,NULL,NULL,NULL,Camera Trap Field Scan,Video periksa kamera masih baik,NULL,,Added 2016
NULL,TB,NULL,NULL,NULL,,Heard Gunshot(s),Suara Tembakan,NULL,,Added 2016
NULL,AHM,NULL,GALLI,PHASI,Lophura erythrophthalma,Crestless Fireback,Ayam hutan/Sempidan merah,NULL,Bird,NULL
NULL,SR,NULL,INSEC,SORIC,Unid shrew,Shrews,Curut,NULL,Mammal,Added 2017 (Camera Trap)
NULL,XX,NULL,NULL,,NULL,Don't know animal name,Belum tahu binatang apa,NULL,,Added 2016
NULL,BM,NULL,,,,Evidence of Logging,Bukti Menebang Pohon,NULL,,NULL
NULL,BO,NULL,,,,Other indirect evidence of humans (i.e. camp or fires),Bukti lain dari orang (contoh kebakaran atau kamp),NULL,,NULL
