"location","ziqr","zMADmean","zMADmedian","CRR","zentropy","lad.min","lad.max","lad.mean","lad.cv","lad.sum","rumple","vn","vFRall","vFRcanopy","vzrumple","vzsd","vzcv","OpenGapSpace","ClosedGapSpace","Euphotic","Oligophotic"
"TR 9",2.514,1.9427694139655,1.151,0.191531342933397,0.512797467913061,0,0.579198073216233,0.02805992823451,3.42975229121648,1.31881662702197,9.50632197814829,24323,2.7797491905779,34.7079724311135,3.37175370137436,0.372562289604372,124.376343032829,10.797627904691,5.22921530913467,1.11279109767122,82.8603656885031
"TZ 12.30",2.815,2.07688456380876,1.26,0.617241889274167,0.534995779068155,0,0.541860095314702,0.0311474043735495,3.18092558250994,1.43278060118328,10.2414586906035,24032,1.28718492571049,8.15501034985917,3.25584298162334,0.286128831032349,166.632658734739,4.38377735642896,14.496791678718,0.533738256687127,80.585692708166
"TZ 3.35",2.17,1.49875403970086,0.991,0.113237041549384,0.483599663227165,0,0.629021923795588,0.0292211643489413,3.60658489441169,1.25651006700447,6.57951598277422,15948,1.83012476245559,26.957859328251,3.55362460550768,0.333620547934584,102.42075512213,8.80383192413268,4.95871087976351,0.804208323005316,85.4332488730985
"UB 13.40",2.27,1.56808161289993,1.084,0.100508862375852,0.518954612044664,5.54238208406475e-07,1.00503091738452,0.0447774044960911,3.73101620528672,1.88065098883583,12.7619010566464,21147,4.78401031592521,39.2716535433071,3.58866237064625,0.334549125987281,117.71131846737,18.4189034804936,7.39783048853598,1.63697444772473,72.5462915832457
"UB 17.02",2.631,2.0126795646767,1.238,0.114383541517209,0.532025645963227,5.5802070675435e-06,0.766066915309682,0.0341595569372382,3.59772006040044,1.63965873298743,13.2398968034254,23531,3.32437640570079,31.276250731033,3.77777430472164,0.340098406037469,102.805118467145,13.7072073599385,7.3046994202014,1.31641406435425,77.6716791555058
"UB 46.02",2.844,1.91852364201014,1.335,0.131800954648204,0.564051928320222,5.24554872605194e-07,0.80010282179103,0.045769088306343,3.14714278734575,1.78499444394738,10.5602956663324,22663,3.69630988786952,37.7144663926378,3.36240101352769,0.359298833724251,99.0387005837551,11.9093170234455,6.10446483180428,1.35747196738022,80.62874617737
"UB 50.03",3.105,2.18026170827243,1.483,0.171281354486374,0.602778127378913,2.27245411021656e-05,0.665514235796362,0.0515750310693489,2.71534599107813,1.80512608742721,12.2032839321624,25727,4.78179249842013,33.8450811692583,3.07240357231664,0.333934931807346,73.8354940076893,11.1330433812869,9.34667856213524,1.81220028995205,77.7080777666258
"UB 58.25",2.598,1.83452625815476,1.204,0.156405751137117,0.59977898528704,2.11146341565659e-07,0.845510070615739,0.0607787596508694,2.78586696007731,1.76258402987521,13.3929395469637,19435,7.57380907843871,45.5045656754858,2.85460205127715,0.366435970006532,77.3551375120731,15.3775408405038,9.07025501932909,2.76920438957476,72.7829997505924
"UB 63.18",2.399,1.64744185024557,1.025,0.107029383682356,0.52075001873972,0,0.579495344569861,0.0343643583391762,3.09486912681851,1.27148125854952,8.36284718728079,14348,3.41549111372433,42.5857770390597,3.29558131388332,0.378551743893354,103.60697715169,10.9627552453545,4.60477140395062,1.27830967944659,83.1541636712483
"UB 75.35",3.021,1.96890916479765,1.251,0.167167788749822,0.580800323952764,1.15499058355449e-05,0.41718374429896,0.0442042552828973,2.24507053313349,1.14931063735533,11.9045728630364,15696,6.78892733564014,43.7677764764932,2.64809295740931,0.357459891681545,76.1951572872425,12.6963667820069,8.72231833910035,2.51686851211073,76.064446366782
"UB 80.03",2.437,1.56757386195975,0.988,0.160535025822411,0.577435949468933,1.18960865142003e-05,0.561847632578231,0.0530219470435344,2.40039054975873,1.27252672904483,10.9820633303889,13572,7.69357225053428,46.5144972239358,2.61502337444635,0.385855816978891,78.4957941968896,14.9081385659299,8.84658772044193,2.94829570255149,73.2969780110767
"UB 85.30",2.3,1.63159101485116,1.016,0.172901839169088,0.548716561788834,9.36006247267289e-07,0.465206438686576,0.0410770400040794,2.49302956335439,1.02692600010198,11.8255740166094,12376,8.43453963061405,42.1023983670692,2.51758103337299,0.371449327571629,72.0425226772478,14.458529271451,11.5988550398691,3.3428746677571,70.5997410209228
